ts_event,best_ofi,multi_ofi,integrated_ofi,cross_asset_ofi
2024-10-21T11:56:34.567796323Z,0,200.0,0.10626188905000887,1
2024-10-21T11:56:34.567809267Z,0,-200.0,-0.529039531538058,-10
2024-10-21T11:56:34.623413180Z,0,0.0,0.7126436255619466,-160
2024-10-21T11:56:42.272625996Z,0,200.0,1.1336561390101243,-21
2024-10-21T11:56:43.878708550Z,100,509.0,1.025657603179712,1107
2024-10-21T11:56:43.878991240Z,-201,-559.0,-0.8651309061642294,-391
2024-10-21T11:56:47.448697059Z,0,200.0,0.10626188905000887,4
2024-10-21T11:56:47.557683879Z,0,-200.0,-0.008773917444496146,200
2024-10-21T11:56:51.014654312Z,0,200.0,0.7214175430064428,-267
2024-10-21T11:56:51.014666179Z,0,200.0,0.10626188905000887,54
2024-10-21T11:56:51.014676787Z,0,0.0,0.0,1007
2024-10-21T11:56:55.866035650Z,0,-200.0,-0.529039531538058,-189
2024-10-21T11:57:04.890399029Z,100,309.0,0.053158464322987604,65
2024-10-21T11:57:04.890725062Z,-201,-559.0,-0.935833583517962,-152
2024-10-21T11:57:06.458943234Z,1,38.0,0.06251826295023696,-92
2024-10-21T11:57:06.459285665Z,0,0.0,0.0,-478
2024-10-21T11:57:07.554141976Z,0,0.0,0.0,148
2024-10-21T11:57:08.621131954Z,0,0.0,0.0,-106
2024-10-21T11:57:10.160087903Z,0,0.0,0.0,-1
2024-10-21T11:57:14.110885099Z,0,0.0,0.0,16
2024-10-21T11:57:14.837669309Z,0,-410.0,-1.0633921575286165,0
2024-10-21T11:57:14.894521785Z,0,39.0,0.06260405562766096,199
2024-10-21T11:57:15.098765695Z,0,200.0,2.479872804084647,1206
2024-10-21T11:57:15.098777532Z,0,0.0,0.0,389
2024-10-21T11:57:15.158138746Z,0,0.0,0.0,323
2024-10-21T11:57:15.158151037Z,0,0.0,0.0,-5
2024-10-21T11:57:15.238560230Z,0,0.0,0.0,-106
2024-10-21T11:57:15.426680348Z,0,-200.0,-1.1021656907042876,198
2024-10-21T11:57:15.993250474Z,0,0.0,0.0,-102
2024-10-21T11:57:17.249143876Z,0,200.0,2.479872804084647,199
2024-10-21T11:57:17.249155657Z,0,0.0,0.0,600
2024-10-21T11:57:17.304858834Z,0,-200.0,-1.1021656907042876,-399
2024-10-21T11:57:17.495155713Z,0,0.0,0.0,-1007
2024-10-21T11:57:20.112111433Z,20,229.0,0.8963171256344452,19
2024-10-21T11:57:22.737207625Z,0,0.0,0.0,53
2024-10-21T11:57:23.434433631Z,0,0.0,0.0,-28
2024-10-21T11:57:23.522180556Z,0,-410.0,-1.945451527477169,81
2024-10-21T11:57:23.522320812Z,0,0.0,0.0,800
2024-10-21T11:57:23.575986228Z,0,-200.0,-0.652598106338065,807
2024-10-21T11:57:23.893151634Z,0,0.0,0.0,-124
2024-10-21T11:57:23.893151634Z,-10,-437.0,-0.23648174537872074,1195
2024-10-21T11:57:23.893200066Z,23,244.0,1.7539752510973663,411
2024-10-21T11:57:23.964289822Z,0,-42.0,-0.14326467709104704,-46
2024-10-21T11:57:23.964302478Z,0,227.0,0.24362947284034048,-43
2024-10-21T11:57:23.993763323Z,-20,-429.0,-1.765113499099862,-110
2024-10-21T11:57:25.745564633Z,0,-42.0,-0.13457859820299156,-272
2024-10-21T11:57:25.813792371Z,0,200.0,17.251289071893197,-649
2024-10-21T11:57:25.852973172Z,0,0.0,0.0,-14
2024-10-21T11:57:25.862973670Z,0,427.0,1.5368008924986103,-17
2024-10-21T11:57:25.868673528Z,200,210.0,0.00639705587079458,344
2024-10-21T11:57:26.000349886Z,200,200.0,0.003113422246562657,367
2024-10-21T11:57:28.039292565Z,-200,-200.0,-0.005943806107074163,-105
2024-10-21T11:57:28.039302990Z,-10,-52.0,-1.2971586039926168,90
2024-10-21T11:57:28.039347712Z,0,0.0,0.0,-97
2024-10-21T11:57:28.153707091Z,0,427.0,1.5368008924986103,-137
2024-10-21T11:57:28.163711748Z,200,210.0,0.00639705587079458,299
2024-10-21T11:57:28.163725884Z,0,-200.0,-1.6884240368235894,1205
2024-10-21T11:57:29.331953680Z,0,200.0,11.336561390101243,200
2024-10-21T11:57:29.331966683Z,0,0.0,0.0,-1090
2024-10-21T11:57:30.995192991Z,200,200.0,0.003113422246562657,189
2024-10-21T11:57:31.496234971Z,0,701.0,1.7583389740198385,-912
2024-10-21T11:57:36.264542456Z,-500,-709.0,-0.4662051018091532,-512
2024-10-21T11:57:36.267934826Z,-200,-200.0,-0.001868053347937594,-66
2024-10-21T11:57:37.887981490Z,1,211.0,1.1069486013335368,15
2024-10-21T11:57:38.016963535Z,0,200.0,0.0031825524174711474,-116
2024-10-21T11:57:40.885440558Z,0,0.0,0.0,42
2024-10-21T11:57:40.885481569Z,0,0.0,0.0,-3
2024-10-21T11:57:41.319151873Z,0,0.0,0.0,0
2024-10-21T11:57:41.319163898Z,0,0.0,0.0,-302
2024-10-21T11:57:41.375697228Z,0,-200.0,-0.004769860356359501,-40
2024-10-21T11:57:41.375709324Z,0,400.0,0.006365104834942295,-195
